time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20180829:1010,76942.8,622.78,258.55,15.32,52.6,28.52,0.34,0.0
20180829:1110,88514.4,850.45,172.37,17.33,55.66,29.23,1.03,0.0
20180829:1210,88108.8,826.45,172.19,16.93,53.95,29.64,1.86,0.0
20180829:1310,79870.8,703.05,178.52,15.12,48.06,29.71,2.55,0.0
20180829:1410,67708.8,577.67,152.17,12.78,39.51,29.49,3.17,0.0
20180829:1510,47036.4,368.54,134.61,9.27,29.54,28.84,3.52,0.0
20180829:1610,24415.2,196.25,87.78,5.83,18.9,27.89,3.17,0.0
20180829:1710,3517.2,7.72,48.2,1.44,8.07,26.85,2.48,0.0
20180829:1810,0.0,0.0,0.0,0.0,0.0,25.73,2.0,0.0
20180829:1910,0.0,0.0,0.0,0.0,0.0,24.73,1.72,0.0
20180829:2010,0.0,0.0,0.0,0.0,0.0,23.62,1.79,0.0
20180829:2110,0.0,0.0,0.0,0.0,0.0,22.63,1.93,0.0
20180829:2210,0.0,0.0,0.0,0.0,0.0,21.8,1.72,0.0
20180829:2310,0.0,0.0,0.0,0.0,0.0,21.44,1.45,0.0
20180830:0010,0.0,0.0,0.0,0.0,0.0,21.84,1.03,0.0
20180830:0110,0.0,0.0,0.0,0.0,0.0,22.13,0.76,0.0
20180830:0210,0.0,0.0,0.0,0.0,0.0,21.98,0.62,0.0
20180830:0310,0.0,0.0,0.0,0.0,0.0,21.77,0.34,0.0
20180830:0410,0.0,0.0,0.0,0.0,0.0,21.51,0.28,0.0
20180830:0510,1189.2,0.0,23.52,0.57,4.76,21.03,0.69,0.0
