2025-08-18 17:59:48.511 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:10:10.0, P_real=0.0
2025-08-18 17:59:50.958 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:10:15.0, P_real=0.0
2025-08-18 17:59:53.562 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:10:20.0, P_real=0.0
2025-08-18 17:59:53.649 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into solarData: timestamp=2023-05-21 00:10:20.0, Gb=0.0, Gd=0.0, Gr=0.0, HSun=0.0, T=16.5586, WS=1.9308, P_predicted=0.0
2025-08-18 17:59:56.221 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:10:25.0, P_real=0.0
2025-08-18 17:59:58.572 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:10:30.0, P_real=0.0
2025-08-18 18:00:01.229 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:10:35.0, P_real=0.0
2025-08-18 18:00:03.582 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:10:40.0, P_real=0.0
2025-08-18 18:00:03.682 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into solarData: timestamp=2023-05-21 00:10:40.0, Gb=0.0, Gd=0.0, Gr=0.0, HSun=0.0, T=16.5571, WS=1.9316, P_predicted=0.0
2025-08-18 18:00:06.342 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:10:45.0, P_real=0.0
2025-08-18 18:00:08.637 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:10:50.0, P_real=0.0
2025-08-18 18:00:11.201 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:10:55.0, P_real=0.0
2025-08-18 18:00:13.612 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:11:00.0, P_real=0.0
2025-08-18 18:00:13.695 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into solarData: timestamp=2023-05-21 00:11:00.0, Gb=0.0, Gd=0.0, Gr=0.0, HSun=0.0, T=16.5557, WS=1.9323, P_predicted=0.0
2025-08-18 18:00:16.150 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:11:05.0, P_real=0.0
2025-08-18 18:00:18.537 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:11:10.0, P_real=0.0
2025-08-18 18:00:21.057 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:11:15.0, P_real=0.0
2025-08-18 18:00:23.566 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:11:20.0, P_real=0.0
2025-08-18 18:00:23.609 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into solarData: timestamp=2023-05-21 00:11:20.0, Gb=0.0, Gd=0.0, Gr=0.0, HSun=0.0, T=16.5542, WS=1.9331, P_predicted=0.0
